fc,测试集1,0.936,0.895,0.935,0.965,0.98,0.905
fc,测试集2,0.941942,0.929648,0.945,0.97,0.965,0.9
cnn1,测试集1,0.840909,0.916129,0.980952,0.91411,0.935065
cnn1,测试集2,0.896552,0.935484,0.980769,0.897436,0.959732
cnn1,测试集1,0.920455,0.916129,0.980952,0.957055,0.922078
cnn1,测试集2,0.931035,0.935484,0.990385,0.942308,0.919463
cnn1,测试集1,0.909091,0.929032,0.971429,0.95092,0.935065
cnn1,测试集2,0.942529,0.948387,0.961538,0.935897,0.932886
cnn1,测试集1,0.886364,0.922581,0.990476,0.97546,0.935065
cnn1,测试集2,0.91954,0.903226,0.990385,0.961538,0.939597
cnn1,测试集1,0.897727,0.909677,0.990476,0.96319,0.922078
cnn1,测试集2,0.931035,0.941935,0.990385,0.948718,0.932886
cnn1,测试集1,0.909091,0.922581,0.980952,0.96319,0.941558
cnn1,测试集2,0.931035,0.929032,0.990385,0.935897,0.95302
cnn1,测试集1,0.886364,0.929032,0.980952,0.95092,0.941558
cnn1,测试集2,0.908046,0.935484,0.990385,0.942308,0.95302
cnn1,测试集1,0.886364,0.929032,0.980952,0.957055,0.935065
cnn1,测试集2,0.965517,0.935484,0.990385,0.948718,0.946309
cnn1,测试集1,0.886364,0.922581,0.990476,0.969325,0.935065
cnn1,测试集2,0.91954,0.922581,0.990385,0.948718,0.939597
cnn1,测试集1,0.897727,0.896774,0.961905,0.93865,0.935065
cnn1,测试集2,0.91954,0.929032,0.990385,0.923077,0.939597
cnn1,测试集1,0.886364,0.929032,0.980952,0.969325,0.941558
cnn1,测试集2,0.942529,0.922581,0.990385,0.955128,0.946309
cnn1,测试集1,0.909091,0.929032,0.971429,0.969325,0.954545
cnn1,测试集2,0.91954,0.909677,0.942308,0.955128,0.932886
